probe_name,35D-0H-16C-A,35D-0H-16C-B,35D-2H-16C-A,37D-2H-16C-B,40D-5H-16C-A,40D-5H-16C-B,44D-9H-16C-A,44D-9H-16C-B,37D-2H-25C-A,37D-2H-25C-B,40D-5H-25C-A,40D-5H-25C-B,44D-9H-25C-A,44D-9H-25C-B
AT3G12580,3.350497247084133,2.321928094887362,2.4329594072761065,1.3219280948873624,3.017921907997262,2.321928094887362,1.84799690655495,1.84799690655495,8.219652565103807,7.716305039844417,8.25077213159993,8.3741700760685,8.319220502523871,7.772809410160731
AT3G22231,10.631722738761946,10.223519086790732,11.654725522963087,11.963871446197388,9.950264266757275,10.469743555192444,10.0130434601401,9.813300212702535,6.624978179569036,6.323730337521348,2.560714954474479,4.972692654004264,5.008988783227255,5.727920454563199
AT1G35910,3.1043366598147357,3.9068905956085187,5.3110671022555955,6.143638309922037,7.025693273680773,7.202613620148487,7.748863714535698,8.16540952031982,1.3785116232537298,1.4854268271702415,1.0,2.070389327891398,1.584962500721156,5.0916998341368105
AT3G22240,11.800455054286154,11.023615759222661,12.766922241969699,12.711645466322329,10.86062144542001,11.398636821680661,11.315828850524781,10.402905469046281,7.727239777484807,7.026800059343715,6.380244590478185,6.710117632043446,6.673839055990439,6.758889432720965
AT5G24770,5.137503523749935,5.632268215499513,3.596935142387232,4.321928094887363,5.560714954474479,5.658211482751795,7.263973354803409,8.047669251391314,9.626986614424798,9.588714635582264,8.939873012307947,10.438479997180378,10.735217522023335,11.397514205751532
AT1G56300,9.354249381945241,9.394891366442586,5.529820946528695,5.357552004618084,5.108524456778169,5.3750394313469245,4.678071905112637,5.03121873061072,9.805905058123619,9.881266942493902,10.054875603226776,9.998731448761216,9.861552216446416,9.925702781351335
AT3G57240,6.636624620543649,6.236492618381302,9.725195817226663,8.825594849463382,10.285864547031847,9.711322819211357,9.80992886572143,9.845646857100814,6.614709844115208,7.351380980674333,5.232660756790275,4.070389327891398,1.8875252707415875,5.040015678847879
AT1G72260,4.277984747299765,5.526694845541976,5.03121873061072,5.491853096329675,7.688600010999123,7.974988111991927,9.258094872866513,9.518849828707692,10.365338223046441,10.352705566879903,10.186733289128867,10.883559725263202,10.831465599001254,10.975059786236962
AT2G14610,7.586464525886388,7.574404309022579,10.301267540565574,10.408754312589434,11.276298914280869,10.776350778387247,10.051344909534713,10.748360595074317,7.514911264861354,8.362382216236988,5.112700132749362,5.507794640198696,5.916476644437717,6.253611151947168
AT5G45180,6.110613805500896,6.242221395098369,6.83541884047548,7.415319248140376,5.06177619758669,4.82273014794452,4.733354340613827,2.560714954474479,2.169925001442312,3.596935142387232,1.5360529002402097,2.137503523749935,1.3219280948873624,2.6322682154995127
AT5G52760,1.3785116232537298,1.1375035237499351,5.321928094887363,6.461070114033051,5.478971805032942,6.211401637418471,5.491853096329675,6.355791546753647,2.37851162325373,4.91169158187234,2.7441610955704103,0.84799690655495,3.9354597478052895,5.37851162325373
AT1G01060,8.0574502721839,7.804776377955828,10.44263253668363,10.038095924684514,10.422169915040676,9.881725790642234,10.334161530782104,10.087462841250339,7.288173968112302,7.154818109052104,4.990954860396993,5.590961241342599,5.9092930858238235,6.020146573111776
AT1G19960,9.751711415395867,8.805743872151618,10.664536172446763,10.56614919961309,9.777090896131869,9.624247145836197,10.096583395500282,9.590774157760558,8.068240861312821,7.693486957499325,5.940166750482817,6.03121873061072,4.916476644437717,4.977279923499917
AT5G66985,6.560714954474479,5.84799690655495,8.013462259806563,8.032872249463233,7.989820220117596,8.615445725304786,8.277519886641358,7.362820525534263,1.4854268271702415,1.1375035237499351,5.157852169141737,5.074676686294496,5.984133594540979,6.044394119358453
AT3G01500,4.314696525656286,1.070389327891398,4.74416109557041,4.017921907997263,0.925999418556223,7.444600813711502,6.211401637418471,2.035623909730721,4.439623137557117,3.786596361890807,3.8278190246173196,1.070389327891398,1.584962500721156,1.3219280948873624
AT4G33070,5.4329594072761065,5.614709844115208,7.096978636370538,7.930145947908821,7.083213368248981,7.906289347406072,7.578938713093386,7.145677455195635,2.6322682154995127,3.523561956057013,2.84799690655495,4.112700132749362,3.4854268271702415,4.560714954474479
AT1G16410,3.877744249949002,2.350497247084133,5.314696525656286,2.655351828612554,3.035623909730721,1.0,1.3785116232537298,2.169925001442312,5.804776377955828,5.485426827170242,7.388017285345135,5.902073579310743,4.300123724569014,1.765534746362977
AT2G14560,7.111657346263132,4.82273014794452,8.314243346748558,7.865423978313134,6.831623936820749,7.005624549193878,7.577428828035749,7.197708157955851,3.4594316186372973,2.2016338611696504,5.048759311919856,4.292781749227846,3.1210154009613658,5.4495613746132365
AT3G19710,6.081083928687635,5.112700132749362,7.569855608330948,6.586464525886388,5.399171093819823,5.035623909730721,5.173926931999809,4.465974464504069,9.807354922057604,8.233619676759702,11.873405660642591,9.053654417603145,7.231701199029002,7.424586226251101
AT2G40080,6.2686589550276715,7.170926525287385,3.7548875021634687,2.405992359675837,2.786596361890807,1.6780719051126378,2.292781749227846,3.7441610955704103,6.135452784185173,6.281698250098829,5.882643049361842,6.683696454306515,4.9954845188775066,6.011227255423254
AT3G52720,1.263034405833794,0.925999418556223,4.602884408718419,5.161887682376894,3.292781749227846,1.5360529002402097,1.3785116232537298,2.263034405833794,5.930737337562887,4.632268215499513,6.807354922057604,5.078951341394822,2.8278190246173196,2.7224660244710908
AT1G69180,6.352264173258321,5.979568100095187,5.3110671022555955,6.03342300153745,7.068240861312821,6.758889432720965,7.419538891513785,7.012345190419828,2.84799690655495,2.232660756790275,2.560714954474479,4.620586410451877,3.817623257511431,2.867896463992655
AT2G18660,5.683696454306515,5.24412594328373,7.452858964713811,7.764871590736091,7.839833648417312,8.307428525192247,8.784634845557521,8.820498107431618,4.548436624696042,6.632268215499513,4.602884408718419,4.399171093819823,2.6322682154995127,7.174925682500679
257239_at,3.9726926540042644,3.700439718141092,3.7224660244710908,3.9818526532897405,3.608809242675524,2.700439718141092,2.1043366598147357,1.584962500721156,6.185866545311334,6.066089190457772,6.817623257511431,6.426264754702098,6.793115555274348,6.520422248526446
AT5G42900,6.892391025913404,7.549977142771825,3.643856189774725,2.1043366598147357,3.8579809951275723,3.867896463992655,3.321928094887362,1.632268215499513,6.388878338811989,6.478971805032942,5.899659026377443,5.845490050944375,5.9954845188775066,5.74416109557041
AT3G29670,5.620586410451877,5.918863237274595,5.5668151540108965,6.259272487037594,5.954196310386875,6.044394119358453,5.189824558880018,5.940166750482817,2.350497247084133,4.24031432933371,3.6667565918848033,2.405992359675837,1.4854268271702415,1.070389327891398
AT4G01700,4.439623137557117,2.4329594072761065,6.348728154231077,7.041111535369152,5.719731056749852,6.155830171556525,5.845490050944375,6.255500733148386,4.722466024471091,1.925999418556223,3.4854268271702415,2.350497247084133,3.7224660244710908,1.4854268271702415
AT2G46830,5.719731056749852,5.652486494918165,8.950993231979641,9.046851165153976,8.669593751188334,8.436295119839363,8.548436624696041,8.562242424221072,5.37851162325373,5.865423978313134,5.112700132749362,5.526694845541976,5.083213368248981,5.325530331567558
AT2G36120,1.3219280948873624,1.632268215499513,3.2479275134435857,5.459431618637297,5.658211482751795,5.0,2.8875252707415875,2.584962500721156,4.892391025913404,2.4594316186372973,7.298291730620124,4.350497247084133,2.4854268271702415,1.4329594072761063
AT5G60910,4.112700132749362,2.765534746362977,3.877744249949002,2.765534746362977,7.035623909730721,5.24031432933371,7.417008586788777,7.692789834972647,3.405992359675837,5.185866545311334,3.9818526532897405,5.9140860970127225,7.458611672584599,6.9818526532897405
AT5G23010,6.531381460516312,5.551516017628014,7.687900522480746,7.150762744355418,4.74416109557041,5.409390936137702,5.442943495848728,3.925999418556223,9.527085978807456,8.34739990950854,11.112765281885316,9.012345190419829,7.207502459258789,7.173926931999809
AT1G02450,8.740792672277681,8.298749947248048,10.12889652900921,10.374930790581718,8.350497247084133,7.77082904603249,7.696967526234287,7.473299871141315,6.892391025913404,6.189824558880018,5.4886435398537845,5.697662633470518,2.4594316186372973,6.165911938935689
AT5G62360,6.026800059343715,6.165911938935689,2.137503523749935,4.74416109557041,3.4854268271702415,1.5360529002402097,4.307428525192248,4.572889668420581,6.563768278452033,5.930737337562887,6.536052900240209,6.673839055990439,7.22013644739608,7.05528243550119
AT4G14980,3.277984747299765,1.584962500721156,1.722466024471091,3.8579809951275723,4.963474123974886,5.300123724569014,5.412781525338476,6.03121873061072,1.765534746362977,1.765534746362977,1.1375035237499351,2.292781749227846,2.292781749227846,1.584962500721156
AT4G39675,1.722466024471091,1.84799690655495,5.426264754702098,6.102238193930738,4.053111336459563,4.754887502163468,4.548436624696042,2.7441610955704103,3.776103988073164,0.84799690655495,1.925999418556223,1.3219280948873624,1.4329594072761063,2.1043366598147357
AT3G57260,4.5109619192773796,5.24031432933371,8.001126665454285,7.435461914479276,9.041385369486115,8.451211111832329,8.716648007881426,8.652127927738269,5.783980413683795,6.242221395098369,7.03121873061072,3.8972404255747994,4.560714954474479,6.985272714253447
AT3G01290,0.765534746362977,1.4854268271702415,3.8875252707415875,4.498250867527825,5.491853096329675,4.765534746362977,4.329123596291566,5.083213368248981,3.0,1.3219280948873624,1.3785116232537298,1.070389327891398,2.37851162325373,3.867896463992655
AT3G16530,5.491853096329675,4.053111336459563,6.015693807105145,5.620586410451877,6.4561490346479955,6.255500733148386,5.746850183098051,5.608809242675524,2.232660756790275,4.626439136697315,2.37851162325373,2.84799690655495,2.405992359675837,2.5360529002402097
AT3G29250,1.84799690655495,1.0,2.350497247084133,1.925999418556223,5.575917361118149,3.1858665453113337,6.2630344058337934,6.013462259806563,1.0,1.84799690655495,1.3785116232537298,1.3219280948873624,2.405992359675837,1.722466024471091
AT2G33810,4.20163386116965,2.405992359675837,1.5360529002402097,3.321928094887362,5.300123724569014,4.7865963618908065,6.024585638278273,6.294620748891627,5.970393537914677,5.855491443101874,5.92837032301897,6.946028989515477,7.834787049337339,7.706668682179746
AT2G25450,5.60584986719498,4.446256229889564,5.9818526532897405,5.017921907997263,1.8073549220576042,1.4329594072761063,4.472487771462744,1.84799690655495,6.820178962415188,5.762880292916999,7.624247145836196,5.757556688939453,5.694880192799191,5.459431618637297
AT1G19530,1.263034405833794,2.070389327891398,5.303780748177103,6.098032082960526,5.817623257511431,4.74416109557041,4.439623137557117,2.4854268271702415,3.786596361890807,3.5109619192773796,5.022367813028454,4.255500733148386,1.3219280948873624,1.263034405833794
AT3G45160,5.205548911173033,4.104336659814735,7.797012977836145,9.1093083171837,8.972692654004264,8.445014845868423,7.322829497628894,5.364572432295856,8.12670447284319,7.562242424221073,9.864340931955635,6.515699838284043,5.658211482751795,6.320123598040615
263941_at,1.5360529002402097,3.405992359675837,0.13750352374993502,3.548436624696042,2.5109619192773796,4.4329594072761065,0.48542682717024166,3.405992359675837,0.2630344058337938,3.817623257511431,0.2630344058337938,4.017921907997263,0.765534746362977,2.070389327891398
AT5G37060,1.9634741239748859,2.232660756790275,4.121015400961366,1.4854268271702415,0.925999418556223,1.4329594072761063,1.263034405833794,3.9541963103868754,4.0,4.329123596291566,1.0,0.5849625007211562,4.921245888585589,3.877744249949002
AT4G25100,4.689299160535892,4.672425341971495,7.96405201104085,7.8561142339774594,4.776103988073165,4.722466024471091,4.06177619758669,3.7224660244710908,6.020146573111776,4.292781749227846,3.0874628412503395,2.035623909730721,2.350497247084133,1.722466024471091
AT4G16310,5.361066488794321,2.925999418556223,5.070389327891398,3.2479275134435857,1.925999418556223,1.4329594072761063,4.638073837180719,2.035623909730721,3.4982508675278257,4.554588851677638,5.837943241891027,4.655351828612554,5.9354597478052895,1.632268215499513
AT4G15210,1.765534746362977,2.8875252707415875,4.439623137557117,1.3219280948873624,4.035623909730721,3.137503523749935,1.4854268271702415,2.1043366598147357,4.8529975876133165,4.419538891513785,4.632268215499513,3.6205864104518777,6.689299160535892,6.517275693209582
AT2G43140,3.6322682154995127,2.292781749227846,4.121015400961366,4.754887502163468,5.026800059343715,5.501439145158873,5.116863757690899,5.930737337562887,2.232660756790275,1.263034405833794,1.8875252707415875,2.7224660244710908,2.8875252707415875,1.584962500721156
AT5G03350,12.50141426402819,12.129476222093244,12.79845154976576,12.653337734971334,12.345405246717796,12.358761074472842,12.531405830159152,12.343019112867768,10.273912128840829,10.58261245126702,9.153805336079035,9.333602628268281,9.177668686602392,9.50898318485542
AT5G37300,0.925999418556223,3.8579809951275723,1.1375035237499351,2.37851162325373,3.350497247084133,4.270528942380718,5.232660756790275,5.551516017628014,3.4195388915137843,1.9634741239748859,4.270528942380718,1.263034405833794,4.572889668420581,5.752213367865143
AT5G46230,5.070389327891398,5.232660756790275,5.652486494918165,6.4822029262959555,6.387155717662981,5.663913842115978,5.368069876532083,6.338067797542616,3.1538053360790355,4.614709844115208,2.786596361890807,4.548436624696042,1.1375035237499351,1.8073549220576042
AT2G29040,0.84799690655495,2.867896463992655,4.517275693209582,3.700439718141092,1.2016338611696504,4.638073837180719,4.802193216941825,4.20945336562895,2.9818526532897405,0.5849625007211562,4.121015400961366,1.722466024471091,1.1375035237499351,4.357552004618084
AT1G16850,6.040015678847879,5.82781902461732,5.6865005271832185,5.958842675243241,4.812498225333564,5.095924419998536,4.776103988073165,5.5453506448223,5.165911938935689,1.3219280948873624,2.867896463992655,1.3219280948873624,2.560714954474479,4.452858964713811
AT1G78710,2.6322682154995127,2.292781749227846,5.035623909730721,4.044394119358453,1.3785116232537298,4.986410935252045,2.8278190246173196,4.169925001442312,5.325530331567558,4.694880192799191,2.070389327891398,1.3219280948873624,5.048759311919856,1.925999418556223
AT3G28400,4.554588851677638,1.9634741239748859,1.2016338611696504,3.5360529002402097,2.263034405833794,3.807354922057604,0.765534746362977,4.035623909730721,3.572889668420581,1.263034405833794,4.689299160535892,4.185866545311334,1.0,1.2016338611696504
AT4G30140,10.901922788086054,11.126575424581475,10.125025944392194,9.89072027292889,8.869131119644294,8.74247786700368,8.386724740799167,7.353146825498083,11.998872453994275,11.858874629561985,11.71621928509414,11.892277172380544,11.79741835451163,11.629219994761936
AT1G62510,4.300123724569014,2.169925001442312,4.906890595608519,4.727920454563199,2.5109619192773796,3.292781749227846,4.247927513443585,2.4594316186372973,7.165911938935689,5.842978831788326,4.554588851677638,6.24031432933371,7.113742166049188,6.163901213814542
AT3G44990,1.1375035237499351,3.9068905956085187,4.578938713093386,3.0531113364595623,0.765534746362977,4.446256229889564,1.765534746362977,0.84799690655495,4.638073837180719,4.270528942380718,5.778734244117836,4.307428525192248,4.121015400961366,3.643856189774725
