sample_id,Age,Tissue,Light,Temperature
col_0_LLHC,7d,Seedling,Light,22c
col_4_LLHC,7d,Seedling,Light,22c
col_8_LLHC,7d,Seedling,Light,22c
col_12_LLHC,7d,Seedling,Light,22c
col_16_LLHC,7d,Seedling,Light,12c
col_20_LLHC,7d,Seedling,Light,12c
col_24_LLHC,7d,Seedling,Light,12c
col_28_LLHC,7d,Seedling,Light,12c
col_32_LLHC,7d,Seedling,Light,22c
col_36_LLHC,7d,Seedling,Light,22c
col_40_LLHC,7d,Seedling,Light,22c
col_44_LLHC,7d,Seedling,Light,22c
